name,address,place_in_rating,average_rating,curl
Cuba libre,"ул. Садовая, д. 7-9-11, Санкт-Петербург 191011 Россия",0.3073170731707317,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6782121-Reviews-Cuba_Libre_bar-St_Petersburg_Northwestern_District.html
SПБ,"пр. Владимирский, 15, Санкт-Петербург 191002 Россия",0.5051698670605613,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d11875087-Reviews-SPB-St_Petersburg_Northwestern_District.html
Модильяни,"ул. Малая Десятинная, 11, Санкт-Петербург 197375 Россия",0.4026946107784431,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d14181907-Reviews-Modigliani-St_Petersburg_Northwestern_District.html
Beer & Cakes,"ул. Краснодонская, 4, Санкт-Петербург 195027 Россия",0.0,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d11872548-Reviews-Beer_Cakes-St_Petersburg_Northwestern_District.html
Толстый Фраер,"Луначарского проспект, д. 46, Санкт-Петербург 194356 Россия",0.475,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6182281-Reviews-Tolsty_Frayer-St_Petersburg_Northwestern_District.html
"Ирландский паб ""Дублин""","Проспект Пятилеток, 2, Санкт-Петербург 193318 Россия",0.7241379310344828,"3,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7997665-Reviews-Dublin_Irish_Pub-St_Petersburg_Northwestern_District.html
WINEPROJECTOR bar,"Кадетская линия В. О., 31, Санкт-Петербург 199004 Россия",0.0,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15154739-Reviews-WINEPROJECTOR_bar-St_Petersburg_Northwestern_District.html
Заходи Генацвале,"Большая Пороховская, 10, Санкт-Петербург 195027 Россия",0.0,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7695522-Reviews-Zakhodi_Genatsvale-St_Petersburg_Northwestern_District.html
Джаз Бар,"Рубинштейна, 5, Санкт-Петербург 191025 Россия",0.5046875,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7695384-Reviews-Jazz_Bar-St_Petersburg_Northwestern_District.html
Азиана,"Торфяная дорога, 7 лит. А, Санкт-Петербург 197374 Россия",0.5731166912850812,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8344464-Reviews-Aziana-St_Petersburg_Northwestern_District.html
Культурная Столица,"Белинского, 9, Санкт-Петербург 191014 Россия",0.0,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8347469-Reviews-Kulturnaya_Stolitsa-St_Petersburg_Northwestern_District.html
DovLaTov бар,"Рубинштейна, 27 Вход в арку, Санкт-Петербург 191002 Россия",0.6782608695652174,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15360393-Reviews-DovLaTov_Bar-St_Petersburg_Northwestern_District.html
Gypsies & Jews,"Ломоносова, 14, Санкт-Петербург 191002 Россия",0.5819793205317577,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d17168819-Reviews-Gypsies_Jews-St_Petersburg_Northwestern_District.html
ГастроПаб Kwakoff,"Ушаковская набережная, 3/2, Санкт-Петербург 197342 Россия",0.0,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d19932133-Reviews-GastroPub_Kwakoff-St_Petersburg_Northwestern_District.html
Raw Materials Bar,"ул. Жуковского 10, Санкт-Петербург 191014 Россия",0.6347826086956522,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12230893-Reviews-Raw_Materials_Bar-St_Petersburg_Northwestern_District.html
Монополь,"Невский пр., 105, Санкт-Петербург Россия",0.0,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d9975107-Reviews-Monopol-St_Petersburg_Northwestern_District.html
Бар Do Immigration,"ул. Восстания, 24, Санкт-Петербург 191014 Россия",0.7252747252747253,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6366551-Reviews-Do_Immigration_Wine_Bar-St_Petersburg_Northwestern_District.html
Гриззли,"Московский, 7, Санкт-Петербург 196158 Россия",0.54375,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d7695377-Reviews-Grizzly-St_Petersburg_Northwestern_District.html
Склад Pub&Kitchen,"Ленинский проспект, 104, Санкт-Петербург 198303 Россия",0.5014970059880239,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d17560828-Reviews-Sklad_Pub_Kitchen-St_Petersburg_Northwestern_District.html
Hoppy Cat,"Московский проспект, 183-185А, Санкт-Петербург 191000 Россия",0.4658536585365854,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15091442-Reviews-Hoppy_Cat-St_Petersburg_Northwestern_District.html
Bermudy,"Банковский пер.6, Санкт-Петербург 191023 Россия",0.6292466765140325,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6867752-Reviews-Bermudy-St_Petersburg_Northwestern_District.html
WINEFINE bar,"Малый проспект В.О., 15, Санкт-Петербург 199178 Россия",0.6144578313253012,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15866130-Reviews-WINEFINE_bar-St_Petersburg_Northwestern_District.html
Бар Карабас,"Поварской переулок, 14, Санкт-Петербург 191025 Россия",0.578125,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d15136987-Reviews-Karabas_Bar-St_Petersburg_Northwestern_District.html
Блуждающий Форвард,"ул. Всеволода Вишневского, 3, Санкт-Петербург 197136 Россия",0.0,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d13814847-Reviews-Bluzhdayushhiy_Forward-St_Petersburg_Northwestern_District.html
Треска,"наб. Реки Фонтанки, 20, Санкт-Петербург 191028 Россия",0.58125,"3,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d10845037-Reviews-Treska-St_Petersburg_Northwestern_District.html
Учкудук,"9-я линия В.О., 16, Санкт-Петербург 199004 Россия",0.6395864106351551,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d8350912-Reviews-Uchkuduk-St_Petersburg_Northwestern_District.html
BM4,"ул. Большая Морская, 4, Санкт-Петербург 190000 Россия",0.5568862275449101,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d17622766-Reviews-BM4-St_Petersburg_Northwestern_District.html
Бар На Моховой,"ул. Моховая, д. 27-29, Санкт-Петербург 191028 Россия",0.6469719350073855,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6366396-Reviews-Bar_Na_Mokhovoi-St_Petersburg_Northwestern_District.html
У Швейка,"Набережная реки Фонтанки, 38, Санкт-Петербург 191025 Россия",0.0,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d19256989-Reviews-U_Shveyka-St_Petersburg_Northwestern_District.html
Репин Бар,"ул. Большая Пушкарская, 50, Санкт-Петербург 197101 Россия",0.49712643678160917,"4,5 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d12396714-Reviews-Repin_Bar-St_Petersburg_Northwestern_District.html
The Americano,"Конюшенная площадь, 2 лит А, Санкт-Петербург 191186 Россия",0.6691285081240768,"4,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d6118281-Reviews-The_Americano-St_Petersburg_Northwestern_District.html
КРАФТ БАР 1/4 Пинты,"Константина Заслонова, 25, Санкт-Петербург 191119 Россия",0.6785714285714286,"5,0 ",https://www.tripadvisor.ru/Restaurant_Review-g298507-d17378184-Reviews-Craft_Bar_1_4_Pinty-St_Petersburg_Northwestern_District.html
